"name","asset_tag","serial_number","location.city","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","u_last_rounded_date","u_device_rounding","u_department_location"
"WT_860DNC00358","C006088","860DNC00358","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Ambulatory-Ground Floor","Main","Across from Endo Nurse Station","G","","","03/31/2023","Excluded","Ambulatory Care"
"LD036325","HSS-8023957","GGK78C3","Nanaimo","VIHA-NHC-Nanaimo Health Centre","","across from office #4","","VIHATRP20210830-038","02/28/2026","","",""
"LD058172","HSS-1025189","C601FB3","Duncan","VIHA-DMHC-Duncan Mental Health Centre-Main Building-1st Floor","Main Building","ACT Team Area-","1","REQ0177811-RITM0185838-SCTASK0275650","08/31/2025","","General Rounding","Mental Health and Substance Abuse"
"LD040007","HSS-8065654","JQWJLN3","Duncan","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","Activities","1","VIHATRP20220815-123","12/31/2026","12/11/2025","General Rounding","(TBD)"
"PC045934","HSS-8089030","JC8QF24","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","","Activity Kitchen","","VIHATRP20240806-039","09/30/2028","","",""
"AO400063","HSS-8073841","C23202M156","Salt Spring Island","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","ACU - Main Nurse Station","1","VIHATRP20230424-015","06/30/2026","11/13/2025","Mobile Cart","Acute Care"
"PC033607","HSS-8084814","5C94X04","Salt Spring Island","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","ACU - Main Nurse Station","1","VIHATRP20240325-021","04/30/2028","11/13/2025","General Rounding","Nursing"
"AO001733","HSS-1044722","C23B172003","Salt Spring Island","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","ACU - Main Nurse Station","1","REQ1091275-RITM1148626-SCTASK1896462","12/31/2027","11/13/2025","Mobile Cart","Acute Care"
"AO400065","HSS-8073840","C23202M141","Salt Spring Island","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","ACU - Main Nurse Station","1","VIHATRP20230424-014","06/30/2026","11/13/2025","Mobile Cart","Acute Care"
"AO400064","HSS-8073839","C23202M145","Salt Spring Island","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","ACU - Main Nurse Station","1","VIHATRP20230424-013","06/30/2026","11/13/2025","Mobile Cart","Acute Care"
"PC033606","HSS-8073854","GVZ0KQ3","Salt Spring Island","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","ACU - Main Nurse Station","1","VIHATRP20230424-028","06/30/2027","11/13/2025","Critical Clinical","Acute Care"
"AO400061","HSS-8073857","C23202M157","Salt Spring Island","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","ACU - Main Nurse Station","1","VIHATRP20230424-031","06/30/2026","11/13/2025","Mobile Cart","Acute Care"
"AO400062","HSS-8073873","C23202M158","Salt Spring Island","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","ACU - Main Nurse Station","1","VIHATRP20230424-047","07/31/2026","11/13/2025","Mobile Cart","Acute Care"
"PC027143","HSS-8084856","GND4X04","Salt Spring Island","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","ACU - Main Nurse Station (Security Camera PC)","1","VIHATRP20240325-063","04/30/2028","11/13/2025","General Rounding","Acute Care"
"PC033602","HSS-8073858","CXZ0KQ3","Salt Spring Island","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","ACU - Physicians Area","1","VIHATRP20230424-032","07/31/2027","11/13/2025","Critical Clinical","Acute Care"
"PC033603","HSS-8090453","9TT2L44","Salt Spring Island","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","ACU - Physicians Area","1","VIHATRP20241007-055","10/31/2028","11/13/2025","General Rounding","Acute Care"
"PC052459","HSS-8073837","1B1T1V3","Salt Spring Island","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","ACU - Physicians Area","1","VIHATRP20230424-011","06/30/2027","11/13/2025","General Rounding","Acute Care"
"PC032031","HSS-8067919","64S2XP3","Nanaimo","VIHA-BLMHAS-Brooks Landing Mental Health & Addictions Services-Main Building-1st Floor","","Admin","","VIHATRP20221024-050","01/31/2027","10/12/2025","General Rounding",""
"PC052180","HSS-8076683","CWQVPR3","Nanaimo","VIHA-NWWSA-Nanaimo Wentworth Street Annex-Annex-1st Floor","Annex","Admin","1","VIHATRP20230724-065","06/30/2027","","General Rounding","Nanaimo Admin Support"
"PC040576","HSS-8080307","62FVPR3","Duncan","VIHA-DMHC-Duncan Mental Health Centre-Main Building-1st Floor","Main Building","admin","1","VIHATRP20231113-011","06/30/2027","12/16/2025","General Rounding","MHSU Cowi Nana & Tert Adm"
"LD063252","HSS-1042526","D22SQV3","Nanaimo","VIHA-NWWS-Nanaimo Wentworth Street-Main Building","Main","Admin","1","REQ0918883-RITM0965985-SCTASK1562144","06/30/2027","03/29/2025","General Rounding","Mental Health & Addiction Services"
"LD090799","HSS-8089644","9CRHVW3","Mayne Island","VIHA-MIHU-Mayne Island Health Unit-Main Building-1st Floor","Main Building","admin","1","VIHATRP20240909-014","10/31/2028","12/13/2024","General Rounding","Peninsula HUB & Gulf Islds CHS"
"LD029679","HSS-8076686","7Z6Y4X3","Nanaimo","VIHA-NWWSA-Nanaimo Wentworth Street Annex-Annex-1st Floor","Annex","Admin ","1","VIHATRP20230724-068","09/30/2027","","","Nanaimo Admin Support"
"PC031051","HSS-8067882","2CW2XP3","Nanaimo","VIHA-NMHAS-Nanaimo Mental Health & Addiction Services","","Admin Area","","VIHATRP20221024-013","02/28/2027","","General Rounding",""
"LD060174","HSS-1032325","51ZZ1J3","Nanaimo","VIHA-NWWS-Nanaimo Wentworth Street-Main Building-1st Floor","Main","Admin area","1","REQ0478395-RITM0501712-SCTASK0796009","04/30/2026","","General Rounding","Mental Health & Addiction Services"
"LD091579","HSS-1048462","CJX2WH3","Nanaimo","VIHA-NWPS-Nanaimo Wentworth & Prideaux Street-Main Building-1st Floor","","Admin Area","","REQ1520356-RITM1603901-SCTASK2596519","12/31/2028","","","Wellness Center"
"LD060173","HSS-1032322","J3B02J3","Nanaimo","VIHA-NWWS-Nanaimo Wentworth Street-Main Building-1st Floor","Main","Admin area","1","REQ0478434-RITM0501751-SCTASK0795632","04/30/2026","03/29/2025","General Rounding","Mental Health & Addiction Services"
"PC031389","HSS-8076693","42VVPR3","Nanaimo","VIHA-NCST-Nanaimo Chapel Street-Main Building-Main Building-1st Floor","Main Building","Admin Desk - Glass office","1","VIHATRP20230724-075","06/30/2027","10/03/2025","'-- None --","Nanaimo ACT Team 2"
"AO400072","C008924","C153102039","Nanaimo","VIHA-DPRC-Dufferin Place (NRGH)","Main","Admin Hallway","1","","","06/04/2024","General Rounding",""
"LD027188","HSS-8078363","88GJ5X3","Duncan","VIHA-DWH-Duncan Waldon House-Main Building-1st Floor","Main Building","Admin Office","1","VIHATRP20230904-095","10/31/2027","12/10/2025","General Rounding","Activities"
"PC040882","HSS-8083616","950RG04","Nanaimo","VIHA-DPRC-Dufferin Place (NRGH)-Main Building-1st Floor","Main Building","Admin Office","1","VIHATRP20240219-003","03/31/2028","08/29/2025","General Rounding","Admin"
"PC033333","HSS-8067030","24SZ4K3","Nanaimo","VIHA-CDC-Clearview Detox Centre-Main Building-1st Floor","","admin office","","VIHATRP20221003-001","12/31/2026","06/14/2025","General Rounding",""
"PC067184","HSS-8086770","HQH4X04","Salt Spring Island","VIHA-SSMHSU-Salt Spring Mental Health Substance Use Services-Main Building-1st Floor","Lancer Building","Admin Office (Floor 1)","1","VIHATRP20240513-107","06/30/2028","02/28/2025","General Rounding","Mental Health & Substance Abuse"
"PC106662","HSS-1049872","85BCQ54","Salt Spring Island","VIHA-SSMHSU-Salt Spring Mental Health Substance Use Services-Main Building-1st Floor","Lancer Building","Admin Office (Floor 1)(Storage)","1","REQ1634891-RITM1725294-SCTASK2769449","02/28/2029","","General Rounding",""
"PC039606","HSS-8073870","DWZ0KQ3","Salt Spring Island","VIHA-SSMHSU-Salt Spring Mental Health Substance Use Services-Main Building-1st Floor","Lancer Building","Admin Shelf (Floor 1)","1","VIHATRP20230424-044","06/30/2027","02/28/2025","General Rounding","Mental Health & Substance Abuse"
"LD101649","HSS-1045632","BYLH424","Nanaimo","VIHA-NWWS-Nanaimo Wentworth Street-Main Building-1st Floor","Main","admin station","1","REQ1232069-RITM1298124-SCTASK2078072","03/31/2028","03/29/2025","General Rounding","Mental Health & Addiction Services"
"LD071295","HSS-1032721","56W2DK3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","Administration","1","REQ0492286-RITM0516273-SCTASK0823301","06/30/2026","","General Rounding",""
"LD059648","HSS-1030717","9PGJ6D3","Parksville","VIHA-TLLTC-Trillium Lodge","","administration 106","1","REQ0394379-RITM0413151-SCTASK0652354","02/28/2026","","General Rounding",""
"PC030872","HSS-8024413","GV6JVD3","Nanaimo","VIHA-NWWSA-Nanaimo Wentworth Street Annex-Annex-1st Floor","528 Wentworth St","Administration Office","1","VIHATRP20210920-047","01/31/2026","02/23/2023","General Rounding"," Mental Health & Addiction Services"
"LD061382","HSS-1035371","7DFH6J3","Nanaimo","VIHA-NSFC-Nanaimo Seafield Crescent-Main Building","Main","Admission Desk","1","REQ0613206-RITM0644103-SCTASK1008370","09/30/2026","","Critical Clinical"," "
"PC031449","HSS-8060169","3M72RN3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","Admissions Desk","1","VIHATRP20220725-019","10/31/2026","07/27/2025","General Rounding","Admitting & Patient Flow"
"PC051331","HSS-8086979","FDD5724","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","Admissions Desk","1st Floor","VIHATRP20240527-028","06/30/2028","09/07/2024","General Rounding","CYF CI-Nanaimo Hsp Svc"
"PC093057","HSS-1049083","1CFQK44","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building-1st Floor","Main","Admitting","1","REQ1577411-RITM1664373-SCTASK2675244","12/31/2028","10/24/2025","General Rounding","Urgent Care"
"PC048761","HSS-8091762","87BQK44","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","Admitting","1","VIHATRP20250106-010","12/31/2028","12/17/2025","Critical Clinical","Emergency Department"
"PC074165","HSS-1904924","5FFQK44","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","Main","Admitting","1","DMND0005167","03/31/2029","10/24/2025","General Rounding","Urgent Care"
"PC049834","HSS-8061502","GDG5XP3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main","Admitting","1","VIHATRP20220815-098","11/30/2026","12/17/2025","Critical Clinical","Emergency Department"
"PC074169","HSS-1904928","33RCQ54","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","Main","Admitting","1","DMND0005167","03/31/2029","10/24/2025","General Rounding","Urgent Care"
"PC049567","HSS-8061484","HDZ4XP3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main","Admitting","1","VIHATRP20220815-080","11/30/2026","12/17/2025","Critical Clinical","Emergency Department"
"PC047864","HSS-8061481","CQ23XP3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","Admitting","1","VIHATRP20220815-077","11/30/2026","12/17/2025","Critical Clinical","Emergency Department"
"PC074164","HSS-1904923","JNJQK44","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","Main","Admitting","1","DMND0005167","03/31/2029","10/24/2025","General Rounding","Urgent Care"
"PC074166","HSS-1904925","82RCQ54","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","Main","Admitting","1","DMND0005167","03/31/2029","10/24/2025","General Rounding",""
"PC074168","HSS-1904927","20NCQ54","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","Main","Admitting","1","DMND0005167","03/31/2029","10/24/2025","General Rounding","Urgent Care"
"PC074167","HSS-1904926","D0NCQ54","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","Main","Admitting","1","DMND0005167","03/31/2029","10/24/2025","General Rounding","Urgent Care"
"AO000565","HSS-8082655","C23719M095","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","alc - Hallway","B1","VIHATRP20240122-109","03/31/2028","","Mobile Cart",""
"LD086577","HSS-1049600","5HH4WH3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","1200 Dufferin Crescent","ALC Courtyard - Office:  for CNL - Lara Ibarrola","Basement","REQ1613849-RITM1702788-SCTASK2734976","12/31/2028","","General Rounding",""
"LD101315","HSS-1045141","3CFKVH3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital","","Ambulatory","B","REQ1204753-RITM1268846-SCTASK2028246","02/29/2028","","General Rounding",""
"PC034888","HSS-8057910","4KM7VH3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Ambulatory-Basement 1","Ambulatory","Ambulatory Admitting","B","VIHATRP20220404-041","10/31/2026","12/05/2025","Critical Clinical","Ambulatory"
"PC031070","HSS-8057917","5G5ZDF3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Ambulatory-Basement 1","Ambulatory","Ambulatory Admitting","B","VIHATRP20220404-048","10/31/2026","12/05/2025","General Rounding","Ambulatory"
"LD046179","HSS-8093107","15VHX64","Nanaimo","VIHA-DPRC-Dufferin Place (NRGH)-Main Building-1st Floor","","at home use laptop","","ISLHTRP20250421-028","03/31/2029","","General Rounding",""
"PC031107","HSS-8089017","20H6D14","Nanaimo","VIHA-BLMHAS-Brooks Landing Mental Health & Addictions Services-Main Building-1st Floor","","At the back","","VIHATRP20240806-026","09/30/2028","","",""
"LD091424","HSS-1048187","2G83WH3","Duncan","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","Attention Jody (207)","2","REQ1483386-RITM1565064-SCTASK2528703","10/31/2028","04/11/2025","General Rounding",""
"LD067667","HSS-1046376","HNLKTW3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","489 Alberni Hwy - Trillium Lodge","Attention Olga Ezzo, Palliative Care Coordaintor","1","REQ1288439-RITM1358614-SCTASK2176554","05/31/2028","","Excluded",""
"AO400300","HSS-8094915","C24223M094","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","Main Building","Audiology","","ISLHTRP20250811-058","09/30/2029","12/05/2025","Mobile Cart","Perinatal."
"LD065498","HSS-8060548","HTQJLN3","Nanaimo","VIHA-NHC-Nanaimo Health Centre-Main Building-1st Floor","Main","Audiology Reception","1","VIHATRP20220802-061","11/30/2026","12/16/2025","General Rounding","Public Health"
"LD037443","HSS-8060542","3Y24NN3","Nanaimo","VIHA-NHC-Nanaimo Health Centre-Main Building-1st Floor","Main Building","Audiology Reception","1","VIHATRP20220802-053","11/30/2026","12/16/2025","General Rounding","Public Health"
"LD038590","HSS-8071444","5VJ3NN3","Nanaimo","VIHA-NHC-Nanaimo Health Centre-Main Building-1st Floor","Main Building","Audiology Reception","1","VIHATRP20230130-010","03/31/2027","09/14/2025","General Rounding","Public Health"
"LD059491","HSS-1973633","FHX27G3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Ambulatory-Basement 1","Ambulatory","B","B","DMND0003213","01/31/2026","02/24/2023","General Rounding","Ambulatory"
"LD058224","HSS-8093662","8Z2TFW3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Ambulatory-Basement 1","Main Building","B 235","1st Floor","VIHATRP20250602-007","03/31/2029","","","Respiratory Therapy"
"PC065959","HSS-1975588","54N2FF3","Duncan","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B-Sunroom (Admin Area)","1","DMND0003373","06/30/2026","01/28/2024","General Rounding","Mental Health and Substance Abuse"
"LD038316","HSS-8067144","FHJHBK3","Nanaimo","VIHA-NSFC-Nanaimo Seafield Crescent-Main Building-1st Floor","Main Building","B-Tech 1 Office","1","VIHATRP20221003-115","09/30/2026","","General Rounding",""
"LD037451","HSS-8020215","HKY1P73","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main","B004","B","VIHATRP20210125-034","05/31/2025","03/27/2023","Excluded"," "
"LD061381","HSS-1035370","GWR73J3","Nanaimo","VIHA-DPRC-Dufferin Place (NRGH)-Main Building","","B004","","REQ0613206-RITM0644099-SCTASK1008338","09/30/2026","","General Rounding",""
"77SR624","HSS-1997598","77SR624","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital","Main Building","B004","B","DMND0004884","04/30/2029","11/25/2025","General Rounding","IM/IT"
"LD061297","HSS-1035184","4DFH6J3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B004","B","REQ0600291-RITM0630505-SCTASK0993706","09/30/2026","","General Rounding",""
"AO400389","C009262","C19C14M078","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B004","B","Lease Information Extract - HPFS Tangent","03/31/2023","03/21/2023","Mobile Cart","IM/IT"
"LD101415","HSS-1045494","92699W3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B004","B","REQ1231952-RITM1298006-SCTASK2083355","03/31/2028","","",""
"LD061383","HSS-1035400","F0154J3","Nanaimo","VIHA-DPRC-Dufferin Place (NRGH)-Main Building","","B004","","REQ0613206-RITM0644098-SCTASK1009192","10/31/2026","","General Rounding",""
"AO000552","C20130M212","C20130M212","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B004","B","Lease Information Extract - HPFS Tangent","03/31/2023","05/02/2024","Mobile Cart","(TBD)"
"LD061466","HSS-1035461","JK834J3","Nanaimo","VIHA-DPRC-Dufferin Place (NRGH)-Main Building","","B004","","REQ0613206-RITM0644101-SCTASK1014988","09/30/2026","","General Rounding",""
"LD061384","HSS-1035399","CKT34J3","Nanaimo","VIHA-DPRC-Dufferin Place (NRGH)-Main Building","","B004","","REQ0613206-RITM0644100-SCTASK1009249","09/30/2026","","General Rounding",""
"LD081197","HSS-1048657","JWNWVH3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital","MAIN","B004","B","REQ1525040-RITM1608817-SCTASK2615716","12/31/2028","","",""
"AO400358","C009291","C19C14M018","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","B004","G","Lease Information Extract - HPFS Tangent","03/31/2023","12/11/2025","Mobile Cart",""
"AO001613","C018803","C22B15M008","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main","B004","Bsmt","","","12/09/2025","Mobile Cart","IM/IT"
"LD061385","HSS-1035398","DG673J3","Nanaimo","VIHA-DPRC-Dufferin Place (NRGH)-Main Building","","B004","","REQ0613206-RITM0644102-SCTASK1009257","09/30/2026","","General Rounding",""
"PC031616","HSS-8014149","MJ07K1UH","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B004","B1","","12/31/2021","02/23/2024","Critical Clinical","Clinical Informatics"
"LD046299","HSS-1964268","2L5HN53","Nanaimo","VIHA-DPRC-Dufferin Place (NRGH)","","B004 (Print Shop)","","DMND0002340-COVID19W-06-0025","04/30/2025","","",""
"LD048225","HSS-8092880","C4WHX64","Nanaimo","VIHA-NWRD-Nanaimo Waddington Road-Integrated Primary & Community Care","","B004 (Print Shop)","","ISLHTRP20250407-001","03/31/2029","","General Rounding",""
"LD046276","HSS-1964245","1VSKN53","Nanaimo","VIHA-DPRC-Dufferin Place (NRGH)","","B004 (Print Shop)","","DMND0002340-COVID19W-06-0002","04/30/2025","","",""
"LD048233","HSS-8092896","9XZHX64","Nanaimo","VIHA-NWRD-Nanaimo Waddington Road-Integrated Primary & Community Care","Integrated Primary & Community Care","B004 (Print Shop)","","ISLHTRP20250407-017","03/31/2029","","","Pop Health & Surveill"
"LD042888","HSS-8082628","8Z799W3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B004 (Print Shop)","Basement 1","VIHATRP20240122-082","02/29/2028","","","Rehab Unit"
"LD041759","HSS-8091245","1RK2WH3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor","Main Building","B004 (Print Shop)","2nd Floor","VIHATRP20241118-082","12/31/2028","","","Library Services"
"LD100736","HSS-1043932","4GPP8Y3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","","B004 - Attn. David Sponaugle","","REQ1081378-RITM1138012-SCTASK1820136","10/31/2027","10/04/2023","General Rounding",""
"LD100737","HSS-1043933","5QSPGY3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","","B004 - Attn. David Sponaugle","","REQ1081378-RITM1138013-SCTASK1820372","10/31/2027","10/04/2023","General Rounding",""
"LD100738","HSS-1043934","98XQ8Y3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","","B004 - Attn. David Sponaugle","","REQ1081378-RITM1138015-SCTASK1820377","10/31/2027","10/04/2023","General Rounding",""
"AO400104","HSS-8086966","C23801M119","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","Main Building","B004 - Print Shop","Basement 1","VIHATRP20240527-014","03/31/2028","","Mobile Cart","Device Integration"
"PC034889","HSS-8067945","65S2XP3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B004 - Print Shop","B","VIHATRP20221024-076","01/31/2027","02/23/2024","General Rounding","IM\IT"
"AO400083","HSS-8083699","C23801M090","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B004 - Print Shop","Basement 1","VIHATRP20240219-086","03/31/2028","","","Device Management"
"PC067251","HSS-8092891","5GFCQ54","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B004 - Print Shop","Basement 1","ISLHTRP20250407-012","03/31/2029","","","NRG Building Maintenance"
"AO400211","HSS-8083703","C23801M085","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B004 - Print Shop","Basement 1","VIHATRP20240219-090","03/31/2028","","Mobile Cart",""
"TD030950","HSS-1020793","R90XJJRX","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B004 - Printshop","B","REQ0053503-RITM0054996-SCTASK0088420","01/31/2024","02/23/2024","Excluded","Home & Community Care"
"TD030420","HSS-8088651","HTKW824","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B004 - WFH","Basement 1","VIHATRP20240722-022","10/31/2028","","","Enterprise Systems Development"
"LD072837","HSS-1042145","B5L3GK3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main","B004 - WFH","B","REQ0884482-REQ0884482-SCTASK1497818","05/31/2027","04/19/2023","Excluded"," "
"LD080749","HSS-1042913","8Y6YHW3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main","B004 - WFH","B","REQ0978838-RITM1029636-SCTASK1638842","07/31/2026","06/27/2023","Excluded","Primary & Community Care"
"LD062927","HSS-1042077","23SVDK3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B004 - WFH","B","REQ0892928-RITM0938666-SCTASK1497886","05/31/2027","03/01/2024","Excluded"," "
"LD073366","HSS-1043108","JRP1JW3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main","B004 - WFH","B","REQ0999203-RITM1051170-SCTASK1684828","08/31/2027","07/25/2023","Excluded","'-"
"LD065049","HSS-8094727","B2BP774","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B004 - WFH","Basement 1","ISLHTRP20250804-022","07/31/2029","","Excluded",""
"LD042900","HSS-8082664","CZGQDY3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B004 - WFH","Basement 1","VIHATRP20240122-118","02/29/2028","","Excluded","Regional Renal Services"
"LD058822","HSS-8094441","8DPKP54","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B004 - WFH","Basement 1","ISLHTRP20250714-075","03/31/2029","","","Clinical Application Mgmt"
"LD080740","HSS-1042871","B19KTV3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B004 - WFH","B","REQ0970239-RITM1020609-SCTASK1621146","07/31/2026","06/27/2023","Excluded"," "
"LD063635","HSS-1042915","JPXJTV3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main","B004 - WFH","B","REQ0978842-RITM1029640-SCTASK1639152","07/31/2026","03/01/2024","Excluded",""
"LD056538","HSS-8093620","JDVZFW3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B004 - WFH","Basement 1","ISLHTRP20250526-054","03/31/2029","","Excluded","Echocardiography"
"LD062555","HSS-1040378","9YG2NN3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main","B004 - WFH","B","REQ0800583-RITM0841114-SCTASK1342520","02/28/2027","03/01/2024","Excluded"," "
"LD064003","HSS-1043514","9NNX4X3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B004 - WFH","B1","REQ1033399-RITM1087348-SCTASK1732850","08/31/2027","03/01/2024","Excluded"," "
"LD041192","HSS-8084054","72MKVH3","Nanaimo","VIHA-MDO-Metral Drive Offices-Main Building-3rd Floor","Main Building","B004 - WFH","3rd Floor","VIHATRP20240304-047","03/31/2028","","Excluded","Employee Benefits"
"LD066612","HSS-8085359","HBLXCW3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main","B004 - WFH ","B","VIHATRP20240408-114","04/30/2028","05/02/2024","Excluded","(TBD)"
"LD056161","HSS-8093528","DSBSFW3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B004 - WFH","Basement 1","ISLHTRP20250519-065","03/31/2029","","","Clin Serv Contract Admin"
"LD042904","HSS-8082662","GHNQDY3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B004 - WFH","Basement 1","VIHATRP20240122-116","02/29/2028","","Excluded","OP COVID19 Therapeut Clin"
"LD042915","HSS-8086572","91MQCW3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B004 - WFH","Basement 1","VIHATRP20240513-054","06/30/2028","","Excluded","COVID Call Centre Registra"
"LD066578","HSS-8083443","JCFKVH3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B004 - WFH","Basement 1","VIHATRP20240311-116","03/31/2028","","General Rounding","Contact Centre - HIM"
